Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
05-05-2020,13161,1583,46711,46600.0,111.0,31967,3.388923379931922,28.175376249705636,68.43570037036244,3875
06-05-2020,14183,1694,49391,49280.0,111.0,33514,3.4297746553015735,28.715757931606973,67.85446741309146,2680
07-05-2020,15267,1783,52952,52841.0,111.0,35902,3.3672004834567155,28.831772171022813,67.80102734552047,3561
08-05-2020,16540,1886,56342,56231.0,111.0,37916,3.3474140073124845,29.3564303716588,67.29615562102872,3390
09-05-2020,17847,1981,59662,59551.0,111.0,39834,3.3203714256980996,29.913512788709735,66.76611578559218,3320
10-05-2020,19358,2109,62939,62828.0,111.0,41472,3.3508635345334374,30.75676448624859,65.89237197921798,3277
11-05-2020,20917,2206,67152,67041.0,111.0,44029,3.2850845842268286,31.148737193233263,65.5661782225399,4213
12-05-2020,22455,2293,70756,70645.0,111.0,46008,3.240714568375827,31.735824523715305,65.02346090790887,3604
13-05-2020,24386,2415,74281,74170.0,111.0,47480,3.251167862575894,32.8293910959734,63.91944104145071,3525
14-05-2020,26235,2549,78003,77892.0,111.0,49219,3.26782303244747,33.63332179531556,63.098855172236966,3722
15-05-2020,27920,2649,81970,81859.0,111.0,51401,3.2316701232158107,34.0612419177748,62.707087959009385,3967
16-05-2020,30153,2752,85710,85599.0,111.0,52805,3.210827208027068,35.18025901295065,61.60891377902229,3740
17-05-2020,34109,2872,90637,90526.0,111.0,53656,3.1686838708253804,37.63253417478513,59.19878195438949,4927
18-05-2020,36824,3029,95759,95648.0,111.0,55906,3.1631491556929374,38.45487108261364,58.381979761693415,5122
19-05-2020,39174,3163,100325,100214.0,111.0,57988,3.1527535509593823,39.047096934961374,57.800149514079244,4566
20-05-2020,42298,3303,106750,106639.0,111.0,61149,3.094145199063232,39.623419203747076,57.282435597189696,6425
21-05-2020,45300,3435,112359,112247.0,112.0,63624,3.0571649801084027,40.31719755426801,56.625637465623576,5609
22-05-2020,48534,3583,118447,118336.0,111.0,66330,3.0249816373567926,40.975288525669704,55.9997298369735,6088
23-05-2020,51784,3720,125101,124983.0,118.0,69597,2.9735973333546495,41.39375384689171,55.63264881975364,6654
