Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
18-09-2020,8:00 AM,2608,2,2831,2831.0,0.0,221,0.07064641469445425,92.12292476156834,7.806428823737195
19-09-2020,8:00 AM,2639,2,2859,2859.0,0.0,218,0.06995452955578874,92.30500174886323,7.6250437215809725
20-09-2020,8:00 AM,2677,2,2887,2887.0,0.0,208,0.06927606511950121,92.72601316245238,7.204710772428126
21-09-2020,8:00 AM,2693,2,2924,2924.0,0.0,229,0.06839945280437756,92.0998632010944,7.831737346101231
22-09-2020,8:00 AM,2711,2,2933,2933.0,0.0,220,0.06818956699624958,92.4309580634163,7.500852369587453
23-09-2020,8:00 AM,2744,2,2944,2944.0,0.0,198,0.06793478260869565,93.20652173913044,6.725543478260869
24-09-2020,8:00 AM,2755,2,2962,2962.0,0.0,205,0.0675219446320054,93.01147873058744,6.920999324780554
25-09-2020,8:00 AM,2785,2,2977,2977.0,0.0,190,0.06718172657037286,93.55055424924421,6.382264024185422
26-09-2020,8:00 AM,2805,2,2989,2989.0,0.0,182,0.06691201070592172,93.8440950150552,6.0889929742388755
27-09-2020,8:00 AM,2831,2,2996,2996.0,0.0,163,0.06675567423230974,94.49265687583444,5.440587449933244
28-09-2020,8:00 AM,2848,2,3002,3002.0,0.0,152,0.06662225183211193,94.87008660892738,5.063291139240507
29-09-2020,8:00 AM,2877,2,3012,3012.0,0.0,133,0.06640106241699867,95.5179282868526,4.415670650730412
30-09-2020,8:00 AM,2910,2,3032,3032.0,0.0,120,0.06596306068601583,95.97625329815304,3.95778364116095
01-10-2020,8:00 AM,2929,2,3040,3040.0,0.0,109,0.06578947368421052,96.34868421052632,3.585526315789474
02-10-2020,8:00 AM,2939,2,3054,3054.0,0.0,113,0.06548788474132286,96.23444662737394,3.7000654878847414
03-10-2020,8:00 AM,2959,2,3061,3061.0,0.0,100,0.06533812479581835,96.66775563541327,3.2669062397909174
04-10-2020,8:00 AM,2967,2,3070,3070.0,0.0,101,0.06514657980456026,96.64495114006515,3.2899022801302933
05-10-2020,8:00 AM,2980,2,3087,3087.0,0.0,105,0.06478781988986071,96.53385163589246,3.4013605442176873
06-10-2020,8:00 AM,2991,2,3092,3092.0,0.0,99,0.0646830530401035,96.73350582147478,3.2018111254851234
07-10-2020,8:00 AM,3000,2,3103,3103.0,0.0,101,0.06445375443119562,96.68063164679343,3.254914598775379
08-10-2020,8:00 AM,3010,2,3120,3120.0,0.0,108,0.0641025641025641,96.47435897435898,3.4615384615384617
09-10-2020,8:00 AM,3025,2,3132,3132.0,0.0,105,0.06385696040868455,96.58365261813537,3.3524904214559386
10-10-2020,8:00 AM,3037,2,3140,3140.0,0.0,101,0.06369426751592357,96.71974522292993,3.21656050955414
11-10-2020,8:00 AM,3050,2,3152,3152.0,0.0,100,0.06345177664974619,96.76395939086294,3.1725888324873095
12-10-2020,8:00 AM,3059,2,3163,3163.0,0.0,102,0.06323110970597534,96.71198229528927,3.2247865950047423
13-10-2020,8:00 AM,3064,2,3168,3168.0,0.0,102,0.06313131313131314,96.71717171717171,3.2196969696969697
14-10-2020,8:00 AM,3081,2,3168,3168.0,0.0,85,0.06313131313131314,97.25378787878788,2.683080808080808
15-10-2020,8:00 AM,3090,2,3171,3171.0,0.0,79,0.06307158625039419,97.44560075685904,2.491327656890571
16-10-2020,8:00 AM,3099,2,3172,3172.0,0.0,71,0.06305170239596469,97.69861286254728,2.2383354350567464
17-10-2020,8:00 AM,3109,2,3177,3177.0,0.0,66,0.06295247088448222,97.8596159899276,2.0774315391879132
18-10-2020,8:00 AM,3119,2,3180,3180.0,0.0,59,0.06289308176100629,98.0817610062893,1.8553459119496856
19-10-2020,8:00 AM,3127,2,3183,3183.0,0.0,54,0.06283380458686773,98.24065347156771,1.6965127238454287
20-10-2020,8:00 AM,3140,2,3185,3185.0,0.0,43,0.06279434850863422,98.58712715855573,1.3500784929356358
21-10-2020,8:00 AM,3153,2,3194,3194.0,0.0,39,0.06261740763932373,98.71634314339386,1.2210394489668128
22-10-2020,8:00 AM,3161,2,3207,3207.0,0.0,44,0.06236357966947303,98.56563766760212,1.3719987527284068
23-10-2020,8:00 AM,3164,2,3213,3213.0,0.0,47,0.06224712107065049,98.47494553376906,1.4628073451602863
24-10-2020,8:00 AM,3167,2,3220,3220.0,0.0,51,0.062111801242236024,98.35403726708074,1.5838509316770186
25-10-2020,8:00 AM,3173,2,3225,3225.0,0.0,50,0.062015503875969,98.3875968992248,1.550387596899225
26-10-2020,8:00 AM,3175,2,3228,3228.0,0.0,51,0.061957868649318466,98.35811648079306,1.5799256505576207
27-10-2020,8:00 AM,3176,2,3228,3228.0,0.0,50,0.061957868649318466,98.38909541511772,1.5489467162329618
