Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
05-06-2020,8:00 AM,14902,220,27256,27247.0,9.0,12134,0.8071617258585265,54.67420017610801,44.518638098033456
06-06-2020,8:00 AM,15762,232,28694,28685.0,9.0,12700,0.8085314002927441,54.931344531957905,44.26012406774936
07-06-2020,8:00 AM,16395,251,30152,30143.0,9.0,13506,0.8324489254444148,54.37450252056249,44.7930485539931
08-06-2020,8:00 AM,16999,269,31667,31658.0,9.0,14399,0.849464742476395,53.680487573815014,45.47004768370859
09-06-2020,8:00 AM,17527,286,33229,33220.0,9.0,15416,0.8606939721327755,52.74609527822083,46.39321074964639
10-06-2020,8:00 AM,18325,307,34914,34905.0,9.0,16282,0.8793034312883083,52.48610872429398,46.634587844417716
11-06-2020,8:00 AM,19333,326,36841,36832.0,9.0,17182,0.8848836893678239,52.47686002008631,46.63825629054586
12-06-2020,8:00 AM,20705,349,38716,38707.0,9.0,17662,0.9014360987705342,53.47918173365017,45.619382167579296
13-06-2020,8:00 AM,22047,367,40698,40689.0,9.0,18284,0.9017642144577129,54.172195193867026,44.92604059167527
14-06-2020,8:00 AM,23409,397,42687,42678.0,9.0,18881,0.9300255347061167,54.83870967741935,44.23126478787453
15-06-2020,8:00 AM,24547,435,44661,44652.0,9.0,19679,0.974004164707463,54.962943059940436,44.0630527753521
16-06-2020,8:00 AM,25344,479,46504,46495.0,9.0,20681,1.030018923103389,54.49853776019267,44.47144331670394
17-06-2020,8:00 AM,26782,528,48019,48010.0,9.0,20709,1.099564755617568,55.77375622149566,43.12667902288677
18-06-2020,8:00 AM,27624,576,50193,50184.0,9.0,21993,1.1475703783396092,55.03556272787043,43.81686689378997
19-06-2020,8:00 AM,28641,625,52334,52325.0,9.0,23068,1.1942523025184393,54.72732831428899,44.07841938319257
20-06-2020,8:00 AM,30271,666,54449,54440.0,9.0,23512,1.223162959833973,55.59514407978108,43.18169296038495
21-06-2020,8:00 AM,31316,704,56845,56836.0,9.0,24825,1.2384554490280588,55.09015744568564,43.6713871052863
22-06-2020,8:00 AM,32754,757,59377,59368.0,9.0,25866,1.2749044242720247,55.16277346447278,43.5623221112552
23-06-2020,8:00 AM,34112,794,62087,62078.0,9.0,27181,1.2788506450625734,54.94225844379661,43.77889091114081
24-06-2020,8:00 AM,35339,833,64603,64594.0,9.0,28431,1.2894138043124932,54.70179403433277,44.008792161354734
25-06-2020,8:00 AM,37763,866,67468,67459.0,9.0,28839,1.2835714709195472,55.971719926483665,42.74470860259679
26-06-2020,8:00 AM,39999,911,70977,70968.0,9.0,30067,1.2835143778970652,56.35487552305677,42.36161009904617
27-06-2020,8:00 AM,41357,957,74622,74613.0,9.0,32308,1.2824636166278043,55.42199351397711,43.295542869395085
28-06-2020,8:00 AM,44094,1025,78335,78326.0,9.0,33216,1.3084827982383354,56.28901512733771,42.40250207442395
29-06-2020,8:00 AM,45537,1079,82275,82266.0,9.0,35659,1.3114554846551199,55.34731084776664,43.341233667578244
30-06-2020,8:00 AM,47749,1141,86224,86215.0,9.0,37334,1.3232974577843755,55.37785303395806,43.29884950825756
01-07-2020,8:00 AM,50074,1201,90167,90158.0,9.0,38892,1.3319728947397607,55.534730000998145,43.13329710426209
02-07-2020,8:00 AM,52926,1264,94049,94040.0,9.0,39859,1.3439802656062265,56.274920520154396,42.381099214239384
03-07-2020,8:00 AM,56021,1321,98392,98383.0,9.0,41050,1.3425888283600294,56.93653955606147,41.7208716155785
04-07-2020,8:00 AM,58378,1385,102721,102712.0,9.0,42958,1.3483124190769171,56.83161184178503,41.820075739138055
05-07-2020,8:00 AM,60592,1450,107001,106992.0,9.0,44959,1.35512752217269,56.6275081541294,42.01736432369791
06-07-2020,8:00 AM,62778,1510,111151,111142.0,9.0,46863,1.358512294086423,56.47992370738905,42.16156399852453
07-07-2020,8:00 AM,66571,1571,114978,114969.0,9.0,46836,1.3663483449007636,57.898902398719756,40.73474925637948
08-07-2020,8:00 AM,71116,1636,118594,118585.0,9.0,45842,1.3794964332091,59.965934195659145,38.65456937113176
09-07-2020,8:00 AM,74167,1700,122350,122341.0,9.0,46483,1.3894564773191664,60.61871679607683,37.991826726604
10-07-2020,8:00 AM,78161,1765,126581,126572.0,9.0,46655,1.394364083077239,61.74781365291789,36.85782226400487
11-07-2020,8:00 AM,82324,1829,130261,130252.0,9.0,46108,1.4041040679865806,63.19926915961032,35.3966267724031
12-07-2020,8:00 AM,85915,1898,134226,134217.0,9.0,46413,1.4140330487386945,64.00771832580871,34.578248625452595
13-07-2020,8:00 AM,89532,1966,138470,138461.0,9.0,46972,1.419802123203582,64.6580486748032,33.922149201993214
14-07-2020,8:00 AM,92567,2032,142798,142789.0,9.0,48199,1.422989117494643,64.82373702712924,33.75327385537613
15-07-2020,8:00 AM,97310,2099,147324,147315.0,9.0,47915,1.4247508891966008,66.0516955825256,32.52355352827781
16-07-2020,8:00 AM,102310,2167,151820,151811.0,9.0,47343,1.4273481754709525,67.38901330522987,31.183638519299173
