Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
18-03-2020,6:00 PM,Ladakh,0,0,8,8.0,0.0,8,0.0,0.0,100.0
18-03-2020,6:00 PM,Uttar Pradesh,5,0,16,15.0,1.0,11,0.0,31.25,68.75
18-03-2020,6:00 PM,Uttarakhand,0,0,1,1.0,0.0,1,0.0,0.0,100.0
18-03-2020,6:00 PM,West Bengal,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,Andhra Pradesh,0,0,2,2.0,0.0,2,0.0,0.0,100.0
19-03-2020,6:00 PM,Chhattisgarh,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,Delhi,3,1,12,11.0,1.0,8,8.333333333333332,25.0,66.66666666666666
19-03-2020,6:00 PM,Haryana,0,0,17,3.0,14.0,17,0.0,0.0,100.0
19-03-2020,6:00 PM,Karnataka,0,1,14,14.0,0.0,13,7.142857142857142,0.0,92.85714285714286
19-03-2020,6:00 PM,Kerala,3,0,27,25.0,2.0,24,0.0,11.11111111111111,88.88888888888889
19-03-2020,6:00 PM,Maharashtra,0,1,47,44.0,3.0,46,2.127659574468085,0.0,97.87234042553192
19-03-2020,6:00 PM,Odisha,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,Puducherry,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,Punjab,0,1,2,2.0,0.0,1,50.0,0.0,50.0
19-03-2020,6:00 PM,Rajasthan,3,0,7,5.0,2.0,4,0.0,42.857142857142854,57.14285714285714
19-03-2020,6:00 PM,Tamil Nadu,1,0,2,2.0,0.0,1,0.0,50.0,50.0
19-03-2020,6:00 PM,Telengana,1,0,6,4.0,2.0,5,0.0,16.666666666666664,83.33333333333334
19-03-2020,6:00 PM,Chandigarh,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,4.0,0.0,4,0.0,0.0,100.0
19-03-2020,6:00 PM,Ladakh,0,0,8,8.0,0.0,8,0.0,0.0,100.0
19-03-2020,6:00 PM,Uttar Pradesh,9,0,19,18.0,1.0,10,0.0,47.368421052631575,52.63157894736842
19-03-2020,6:00 PM,Uttarakhand,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,West Bengal,0,0,1,1.0,0.0,1,0.0,0.0,100.0
20-03-2020,6:00 PM,Andhra Pradesh,0,0,3,3.0,0.0,3,0.0,0.0,100.0
20-03-2020,6:00 PM,Chhattisgarh,0,0,1,1.0,0.0,1,0.0,0.0,100.0
20-03-2020,6:00 PM,Delhi,5,1,17,16.0,1.0,11,5.88235294117647,29.411764705882355,64.70588235294117
20-03-2020,6:00 PM,Gujarat,0,0,5,5.0,0.0,5,0.0,0.0,100.0
20-03-2020,6:00 PM,Haryana,0,0,17,3.0,14.0,17,0.0,0.0,100.0
20-03-2020,6:00 PM,Karnataka,1,1,15,15.0,0.0,13,6.666666666666667,6.666666666666667,86.66666666666667
20-03-2020,6:00 PM,Kerala,3,0,28,26.0,2.0,25,0.0,10.714285714285714,89.28571428571429
20-03-2020,6:00 PM,Maharashtra,0,1,52,49.0,3.0,51,1.9230769230769231,0.0,98.07692307692307
20-03-2020,6:00 PM,Odisha,0,0,2,2.0,0.0,2,0.0,0.0,100.0
20-03-2020,6:00 PM,Puducherry,0,0,1,1.0,0.0,1,0.0,0.0,100.0
20-03-2020,6:00 PM,Punjab,0,1,2,2.0,0.0,1,50.0,0.0,50.0
20-03-2020,6:00 PM,Rajasthan,3,0,17,15.0,2.0,14,0.0,17.647058823529413,82.35294117647058
20-03-2020,6:00 PM,Tamil Nadu,1,0,3,3.0,0.0,2,0.0,33.33333333333333,66.66666666666666
20-03-2020,6:00 PM,Telengana,1,0,17,8.0,9.0,16,0.0,5.88235294117647,94.11764705882352
20-03-2020,6:00 PM,Chandigarh,0,0,1,1.0,0.0,1,0.0,0.0,100.0
20-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,4.0,0.0,4,0.0,0.0,100.0
20-03-2020,6:00 PM,Ladakh,0,0,10,10.0,0.0,10,0.0,0.0,100.0
20-03-2020,6:00 PM,Uttar Pradesh,9,0,23,22.0,1.0,14,0.0,39.130434782608695,60.86956521739131
20-03-2020,6:00 PM,Uttarakhand,0,0,3,3.0,0.0,3,0.0,0.0,100.0
20-03-2020,6:00 PM,West Bengal,0,0,2,2.0,0.0,2,0.0,0.0,100.0
21-03-2020,6:00 PM,Andhra Pradesh,0,0,3,3.0,0.0,3,0.0,0.0,100.0
21-03-2020,6:00 PM,Chhattisgarh,0,0,1,1.0,0.0,1,0.0,0.0,100.0
21-03-2020,6:00 PM,Delhi,5,1,26,25.0,1.0,20,3.8461538461538463,19.230769230769234,76.92307692307693
21-03-2020,6:00 PM,Gujarat,0,0,7,7.0,0.0,7,0.0,0.0,100.0
21-03-2020,6:00 PM,Haryana,0,0,17,3.0,14.0,17,0.0,0.0,100.0
21-03-2020,6:00 PM,Himachal Pradesh,0,0,2,2.0,0.0,2,0.0,0.0,100.0
21-03-2020,6:00 PM,Karnataka,1,1,15,15.0,0.0,13,6.666666666666667,6.666666666666667,86.66666666666667
21-03-2020,6:00 PM,Kerala,3,0,40,33.0,7.0,37,0.0,7.5,92.5
21-03-2020,6:00 PM,Madhya Pradesh,0,0,4,4.0,0.0,4,0.0,0.0,100.0
21-03-2020,6:00 PM,Maharashtra,0,1,63,60.0,3.0,62,1.5873015873015872,0.0,98.4126984126984
21-03-2020,6:00 PM,Odisha,0,0,2,2.0,0.0,2,0.0,0.0,100.0
21-03-2020,6:00 PM,Puducherry,0,0,1,1.0,0.0,1,0.0,0.0,100.0
21-03-2020,6:00 PM,Punjab,0,1,13,13.0,0.0,12,7.6923076923076925,0.0,92.3076923076923
21-03-2020,6:00 PM,Rajasthan,3,0,17,15.0,2.0,14,0.0,17.647058823529413,82.35294117647058
21-03-2020,6:00 PM,Tamil Nadu,1,0,3,3.0,0.0,2,0.0,33.33333333333333,66.66666666666666
21-03-2020,6:00 PM,Telengana,1,0,21,10.0,11.0,20,0.0,4.761904761904762,95.23809523809523
21-03-2020,6:00 PM,Chandigarh,0,0,1,1.0,0.0,1,0.0,0.0,100.0
21-03-2020,6:00 PM,Jammu and Kashmir,0,0,4,3.0,1.0,4,0.0,0.0,100.0
21-03-2020,6:00 PM,Ladakh,0,0,13,13.0,0.0,13,0.0,0.0,100.0
21-03-2020,6:00 PM,Uttar Pradesh,9,0,24,23.0,1.0,15,0.0,37.5,62.5
21-03-2020,6:00 PM,Uttarakhand,0,0,3,3.0,0.0,3,0.0,0.0,100.0
21-03-2020,6:00 PM,West Bengal,0,0,3,2.0,1.0,3,0.0,0.0,100.0
22-03-2020,6:00 PM,Andhra Pradesh,0,0,5,5.0,0.0,5,0.0,0.0,100.0
22-03-2020,6:00 PM,Bihar,0,1,2,1.0,1.0,1,50.0,0.0,50.0
22-03-2020,6:00 PM,Chhattisgarh,0,0,1,1.0,0.0,1,0.0,0.0,100.0
