Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
08-04-2020,5:00 PM,25,4,175,175.0,0.0,146,2.2857142857142856,14.285714285714285,83.42857142857143,175
09-04-2020,5:00 PM,28,5,181,181.0,0.0,148,2.7624309392265194,15.469613259668508,81.76795580110497,181
10-04-2020,5:00 PM,30,6,197,197.0,0.0,161,3.0456852791878175,15.228426395939088,81.7258883248731,197
11-04-2020,5:00 PM,37,6,214,214.0,0.0,171,2.803738317757009,17.289719626168225,79.90654205607477,214
12-04-2020,5:00 PM,37,6,226,226.0,0.0,183,2.6548672566371683,16.371681415929203,80.97345132743364,226
13-04-2020,5:00 PM,59,6,247,247.0,0.0,182,2.42914979757085,23.88663967611336,73.68421052631578,247
14-04-2020,5:00 PM,65,9,258,258.0,0.0,184,3.488372093023256,25.1937984496124,71.31782945736434,258
15-04-2020,5:00 PM,75,11,277,277.0,0.0,191,3.9711191335740073,27.075812274368232,68.95306859205776,277
16-04-2020,5:00 PM,82,13,315,315.0,0.0,220,4.1269841269841265,26.031746031746035,69.84126984126983,315
17-04-2020,5:00 PM,82,13,353,353.0,0.0,258,3.6827195467422094,23.229461756373937,73.08781869688386,353
18-04-2020,5:00 PM,92,13,371,371.0,0.0,266,3.5040431266846364,24.797843665768195,71.69811320754717,371
19-04-2020,5:00 PM,104,14,384,384.0,0.0,266,3.6458333333333335,27.083333333333332,69.27083333333334,384
20-04-2020,5:00 PM,111,16,395,395.0,0.0,268,4.050632911392405,28.10126582278481,67.84810126582278,395
21-04-2020,5:00 PM,114,17,415,415.0,0.0,284,4.096385542168675,27.469879518072286,68.43373493975903,415
22-04-2020,5:00 PM,129,17,425,425.0,0.0,279,4.0,30.352941176470587,65.64705882352942,425
23-04-2020,5:00 PM,141,17,443,443.0,0.0,285,3.837471783295711,31.82844243792325,64.33408577878103,443
24-04-2020,5:00 PM,150,18,463,463.0,0.0,295,3.8876889848812093,32.39740820734342,63.714902807775374,463
25-04-2020,5:00 PM,153,18,489,489.0,0.0,318,3.6809815950920246,31.28834355828221,65.03067484662577,489
26-04-2020,5:00 PM,177,18,501,501.0,0.0,306,3.592814371257485,35.32934131736527,61.07784431137725,501
27-04-2020,5:00 PM,188,20,511,511.0,0.0,303,3.9138943248532287,36.79060665362035,59.295499021526425,511
28-04-2020,5:00 PM,198,20,520,520.0,0.0,302,3.8461538461538463,38.07692307692307,58.07692307692308,520
29-04-2020,5:00 PM,215,20,532,532.0,0.0,297,3.7593984962406015,40.41353383458647,55.82706766917293,532
30-04-2020,5:00 PM,223,21,557,557.0,0.0,313,3.7701974865350087,40.035906642728904,56.193895870736085,557
01-05-2020,5:00 PM,235,22,576,576.0,0.0,319,3.8194444444444446,40.79861111111111,55.38194444444444,576
02-05-2020,5:00 PM,251,22,589,589.0,0.0,316,3.7351443123938877,42.61460101867572,53.65025466893039,589
03-05-2020,5:00 PM,282,25,606,606.0,0.0,299,4.125412541254125,46.53465346534654,49.339933993399335,606
04-05-2020,5:00 PM,304,26,642,642.0,0.0,312,4.049844236760125,47.35202492211838,48.598130841121495,642
05-05-2020,5:00 PM,324,28,659,659.0,0.0,307,4.24886191198786,49.165402124430955,46.58573596358118,659
06-05-2020,8:00 AM,331,29,671,671.0,0.0,311,4.321907600596125,49.32935916542474,46.34873323397913,671
07-05-2020,8:00 AM,354,29,693,693.0,0.0,310,4.184704184704184,51.082251082251084,44.733044733044736,693
08-05-2020,8:00 AM,366,30,705,705.0,0.0,309,4.25531914893617,51.91489361702127,43.829787234042556,705
09-05-2020,8:00 AM,376,30,753,753.0,0.0,347,3.9840637450199203,49.933598937583,46.08233731739708,753
10-05-2020,8:00 AM,386,30,794,794.0,0.0,378,3.7783375314861463,48.614609571788414,47.607052896725435,794
11-05-2020,8:00 AM,424,31,848,848.0,0.0,393,3.6556603773584904,50.0,46.34433962264151,848
12-05-2020,8:00 AM,426,31,862,862.0,0.0,405,3.596287703016241,49.419953596287705,46.98375870069606,862
13-05-2020,8:00 AM,433,31,925,925.0,0.0,461,3.3513513513513513,46.81081081081081,49.83783783783784,925
14-05-2020,8:00 AM,451,33,959,959.0,0.0,475,3.441084462982273,47.028154327424396,49.53076120959333,959
15-05-2020,8:00 AM,460,35,987,987.0,0.0,492,3.546099290780142,46.605876393110435,49.848024316109424,987
16-05-2020,8:00 AM,480,36,1056,1056.0,0.0,540,3.4090909090909087,45.45454545454545,51.13636363636363,1056
17-05-2020,8:00 AM,496,36,1092,1092.0,0.0,560,3.296703296703297,45.42124542124542,51.28205128205128,1092
