Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
25-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
26-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
27-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
28-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
29-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
01-03-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
02-03-2020,-0.6597822350845212,-0.7954099983412277,-0.7091584085614192,-0.709089014334471,-0.5996540129072324,-0.9073164634796221,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9024861054595519
03-03-2020,-0.6597807935368796,-0.7954099983412277,-0.7091579981823183,-0.7090886039562273,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,0.15995943592620626,-0.09382262756306488,-0.9025169989623757
04-03-2020,-0.6597807935368796,-0.7954099983412277,-0.7091489698420985,-0.7090853209302771,-0.5489246129305425,-0.9072606087520968,-1.9045837172553859,-1.1193259727568348,1.1751077200203273,-0.9018682354030761
05-03-2020,-0.6597807935368796,-0.7954099983412277,-0.7091481490838967,-0.7090845001737894,-0.5489246129305425,-0.9072550232793443,-1.9045837172553859,-1.1425857074601629,1.1981791808854798,-0.9024861054595519
